     Alpha       T1-20.0 m/s-VLM1    
           -5         -22.45873  
         -4.5         -22.91609  
           -4         -23.17794  
         -3.5         -22.91895  
           -3         -22.08283  
         -2.5         -21.55408  
           -2         -20.42106  
         -1.5         -17.60687  
           -1          -14.4011  
         -0.5         -10.92205  
            0         -7.567466  
          0.5         -4.459756  
            1         -1.594074  
          1.5          1.095445  
            2          3.729527  
          2.5          6.268032  
            3          8.668453  
          3.5          10.92669  
            4          12.94692  
          4.5          14.90669  
            5          16.69125  
          5.5          18.28082  
            6          19.78472  
          6.5          21.03601  
            7          22.27464  
          7.5           23.7556  

