     Alpha       T1-20.0 m/s-VLM1    
           -5         0.3595898  
         -4.5         0.3350711  
           -4         0.3105044  
         -3.5         0.2859502  
           -3         0.2613894  
         -2.5         0.2367756  
           -2         0.2121186  
         -1.5         0.1874681  
           -1         0.1627973  
         -0.5         0.1381048  
            0         0.1133924  
          0.5        0.08866816  
            1        0.06394125  
          1.5        0.03922979  
            2        0.01453671  
          2.5        -0.0101388  
            3       -0.03479251  
          3.5       -0.05940733  
            4       -0.08398286  
          4.5        -0.1085035  
            5        -0.1329742  
          5.5        -0.1573911  
            6        -0.1817261  
          6.5         -0.205991  
            7        -0.2301511  
          7.5        -0.2541746  

