xflr5 v6.55

Plane name :        Headwinds
Polar name :        T1-16.0 m/s-VLM2
Freestream speed :  16.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.500     0.000  -0.277306   0.002290   0.014571   0.016861  -0.000000   0.000000   0.231188   0.000000   0.000000   16.0000     0.5041
   -2.000     0.000  -0.240344   0.001756   0.013324   0.015080  -0.000000   0.000000   0.207254   0.000000   0.000000   16.0000     0.5084
   -1.500     0.000  -0.203353   0.001298   0.013255   0.014553  -0.000000   0.000000   0.183355   0.000000   0.000000   16.0000     0.5143
   -1.000     0.000  -0.166338   0.000917   0.013501   0.014418  -0.000000   0.000000   0.159421   0.000000   0.000000   16.0000     0.5228
   -0.500     0.000  -0.129303   0.000613   0.013846   0.014459  -0.000000   0.000000   0.135462   0.000000   0.000000   16.0000     0.5363
    0.000     0.000  -0.092254   0.000387   0.014196   0.014583  -0.000000   0.000000   0.111484   0.000000   0.000000   16.0000     0.5605
    0.500     0.000  -0.055194   0.000237   0.014459   0.014696  -0.000000   0.000000   0.087497   0.000000   0.000000   16.0000     0.6174
    1.000     0.000  -0.018130   0.000165   0.014458   0.014623  -0.000000   0.000000   0.063518   0.000000   0.000000   16.0000     0.9066
    1.500     0.000   0.018935   0.000170   0.014360   0.014530   0.000000   0.000000   0.039548  -0.000000  -0.000000   16.0000     0.0634
    2.000     0.000   0.055994   0.000253   0.014359   0.014612   0.000000   0.000000   0.015585  -0.000000  -0.000000   16.0000     0.3365
    2.500     0.000   0.093045   0.000412   0.014459   0.014872   0.000000   0.000000  -0.008356  -0.000000  -0.000000   16.0000     0.3920
    3.000     0.000   0.130081   0.000649   0.014543   0.015192   0.000000   0.000000  -0.032272  -0.000000  -0.000000   16.0000     0.4160
    3.500     0.000   0.167098   0.000962   0.014619   0.015582   0.000000   0.000000  -0.056153  -0.000000  -0.000000   16.0000     0.4293
    4.000     0.000   0.204091   0.001352   0.014809   0.016161   0.000000   0.000000  -0.080001  -0.000000  -0.000000   16.0000     0.4379
    4.500     0.000   0.241055   0.001818   0.015026   0.016844   0.000000   0.000000  -0.103806  -0.000000  -0.000000   16.0000     0.4438
    5.000     0.000   0.277985   0.002360   0.015306   0.017666   0.000000   0.000000  -0.127558  -0.000000  -0.000000   16.0000     0.4482
    5.500     0.000   0.314877   0.002977   0.015571   0.018548   0.000000   0.000000  -0.151247  -0.000000  -0.000000   16.0000     0.4516
    6.000     0.000   0.351726   0.003669   0.015778   0.019446   0.000000   0.000000  -0.174871  -0.000000  -0.000000   16.0000     0.4543
    6.500     0.000   0.388527   0.004434   0.016019   0.020454   0.000000   0.000000  -0.198426  -0.000000  -0.000000   16.0000     0.4565
    7.000     0.000   0.425275   0.005274   0.016251   0.021525   0.000000   0.000000  -0.221893  -0.000000  -0.000000   16.0000     0.4583


