xflr5 v6.55

Plane name :        Headwinds
Polar name :        T1-30.0 m/s-VLM2
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.240344   0.001756   0.011351   0.013107  -0.000000   0.000000   0.207195   0.000000   0.000000   30.0000     0.5084
   -1.500     0.000  -0.203353   0.001298   0.010232   0.011530  -0.000000   0.000000   0.183297   0.000000   0.000000   30.0000     0.5143
   -1.000     0.000  -0.166338   0.000917   0.009759   0.010676  -0.000000   0.000000   0.159388   0.000000   0.000000   30.0000     0.5228
   -0.500     0.000  -0.129303   0.000613   0.009610   0.010223  -0.000000   0.000000   0.135458   0.000000   0.000000   30.0000     0.5363
    0.000     0.000  -0.092254   0.000387   0.009862   0.010248  -0.000000   0.000000   0.111512   0.000000   0.000000   30.0000     0.5605
    0.500     0.000  -0.055194   0.000237   0.010212   0.010449  -0.000000   0.000000   0.087553   0.000000   0.000000   30.0000     0.6174
    1.000     0.000  -0.018130   0.000165   0.010493   0.010658  -0.000000   0.000000   0.063590   0.000000   0.000000   30.0000     0.9066
    1.500     0.000   0.018935   0.000170   0.010605   0.010775   0.000000   0.000000   0.039636  -0.000000  -0.000000   30.0000     0.0634
    2.000     0.000   0.055994   0.000253   0.010620   0.010873   0.000000   0.000000   0.015703  -0.000000  -0.000000   30.0000     0.3365
    2.500     0.000   0.093045   0.000412   0.010621   0.011034   0.000000   0.000000  -0.008205  -0.000000  -0.000000   30.0000     0.3920
    3.000     0.000   0.130081   0.000649   0.010585   0.011234   0.000000   0.000000  -0.032083  -0.000000  -0.000000   30.0000     0.4160
    3.500     0.000   0.167098   0.000962   0.010578   0.011540   0.000000   0.000000  -0.055926  -0.000000  -0.000000   30.0000     0.4293
    4.000     0.000   0.204091   0.001352   0.010638   0.011990   0.000000   0.000000  -0.079734  -0.000000  -0.000000   30.0000     0.4379
    4.500     0.000   0.241055   0.001818   0.010700   0.012518   0.000000   0.000000  -0.103492  -0.000000  -0.000000   30.0000     0.4438
    5.000     0.000   0.277985   0.002360   0.010805   0.013165   0.000000   0.000000  -0.127196  -0.000000  -0.000000   30.0000     0.4482
    5.500     0.000   0.314877   0.002977   0.010837   0.013814   0.000000   0.000000  -0.150829  -0.000000  -0.000000   30.0000     0.4516
    6.000     0.000   0.351726   0.003669   0.010849   0.014518   0.000000   0.000000  -0.174390  -0.000000  -0.000000   30.0000     0.4543
    6.500     0.000   0.388527   0.004434   0.010913   0.015348   0.000000   0.000000  -0.197882  -0.000000  -0.000000   30.0000     0.4565
    7.000     0.000   0.425275   0.005274   0.010956   0.016230   0.000000   0.000000  -0.221284  -0.000000  -0.000000   30.0000     0.4583
    7.500     0.000   0.461965   0.006186   0.010713   0.016899   0.000000   0.000000  -0.244540  -0.000000  -0.000000   30.0000     0.4599


