xflr5 v6.55

Plane name :        Headwinds
Polar name :        T1-40.0 m/s-VLM2
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.500     0.000  -0.203353   0.001298   0.009832   0.011130  -0.000000   0.000000   0.183264   0.000000   0.000000   40.0000     0.5143
   -1.000     0.000  -0.166338   0.000917   0.008885   0.009802  -0.000000   0.000000   0.159360   0.000000   0.000000   40.0000     0.5228
   -0.500     0.000  -0.129303   0.000613   0.008443   0.009057  -0.000000   0.000000   0.135442   0.000000   0.000000   40.0000     0.5363
    0.000     0.000  -0.092254   0.000387   0.008349   0.008735  -0.000000   0.000000   0.111512   0.000000   0.000000   40.0000     0.5605
    0.500     0.000  -0.055194   0.000237   0.008543   0.008780  -0.000000   0.000000   0.087569   0.000000   0.000000   40.0000     0.6174
    1.000     0.000  -0.018130   0.000165   0.008772   0.008937  -0.000000   0.000000   0.063621   0.000000   0.000000   40.0000     0.9066
    1.500     0.000   0.018935   0.000170   0.008949   0.009119   0.000000   0.000000   0.039679  -0.000000  -0.000000   40.0000     0.0634
    2.000     0.000   0.055994   0.000253   0.009081   0.009333   0.000000   0.000000   0.015756  -0.000000  -0.000000   40.0000     0.3365
    2.500     0.000   0.093045   0.000412   0.009211   0.009623   0.000000   0.000000  -0.008145  -0.000000  -0.000000   40.0000     0.3920
    3.000     0.000   0.130081   0.000649   0.009274   0.009923   0.000000   0.000000  -0.032018  -0.000000  -0.000000   40.0000     0.4160
    3.500     0.000   0.167098   0.000962   0.009305   0.010268   0.000000   0.000000  -0.055855  -0.000000  -0.000000   40.0000     0.4293
    4.000     0.000   0.204091   0.001352   0.009300   0.010652   0.000000   0.000000  -0.079648  -0.000000  -0.000000   40.0000     0.4379
    4.500     0.000   0.241055   0.001818   0.009264   0.011082   0.000000   0.000000  -0.103389  -0.000000  -0.000000   40.0000     0.4438
    5.000     0.000   0.277985   0.002360   0.009266   0.011626   0.000000   0.000000  -0.127079  -0.000000  -0.000000   40.0000     0.4482
    5.500     0.000   0.314877   0.002977   0.009269   0.012246   0.000000   0.000000  -0.150702  -0.000000  -0.000000   40.0000     0.4516
    6.000     0.000   0.351726   0.003669   0.009319   0.012988   0.000000   0.000000  -0.174254  -0.000000  -0.000000   40.0000     0.4543
    6.500     0.000   0.388527   0.004434   0.009383   0.013817   0.000000   0.000000  -0.197725  -0.000000  -0.000000   40.0000     0.4565
    7.000     0.000   0.425275   0.005274   0.009372   0.014646   0.000000   0.000000  -0.221103  -0.000000  -0.000000   40.0000     0.4583
    7.500     0.000   0.461965   0.006186   0.009390   0.015575   0.000000   0.000000  -0.244378  -0.000000  -0.000000   40.0000     0.4599


