xflr5 v6.55

Plane name :        Headwinds
Polar name :        T1-17.0 m/s-VLM2
Freestream speed :  17.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.500     0.000  -0.277306   0.002290   0.014266   0.016556  -0.000000   0.000000   0.231181   0.000000   0.000000   17.0000     0.5041
   -2.000     0.000  -0.240344   0.001756   0.013065   0.014821  -0.000000   0.000000   0.207250   0.000000   0.000000   17.0000     0.5084
   -1.500     0.000  -0.203353   0.001298   0.012870   0.014168  -0.000000   0.000000   0.183350   0.000000   0.000000   17.0000     0.5143
   -1.000     0.000  -0.166338   0.000917   0.013003   0.013920  -0.000000   0.000000   0.159419   0.000000   0.000000   17.0000     0.5228
   -0.500     0.000  -0.129303   0.000613   0.013328   0.013942  -0.000000   0.000000   0.135464   0.000000   0.000000   17.0000     0.5363
    0.000     0.000  -0.092254   0.000387   0.013677   0.014064  -0.000000   0.000000   0.111489   0.000000   0.000000   17.0000     0.5605
    0.500     0.000  -0.055194   0.000237   0.013987   0.014224  -0.000000   0.000000   0.087505   0.000000   0.000000   17.0000     0.6174
    1.000     0.000  -0.018130   0.000165   0.014085   0.014250  -0.000000   0.000000   0.063526   0.000000   0.000000   17.0000     0.9066
    1.500     0.000   0.018935   0.000170   0.013970   0.014140   0.000000   0.000000   0.039560  -0.000000  -0.000000   17.0000     0.0634
    2.000     0.000   0.055994   0.000253   0.013931   0.014184   0.000000   0.000000   0.015602  -0.000000  -0.000000   17.0000     0.3365
    2.500     0.000   0.093045   0.000412   0.013998   0.014410   0.000000   0.000000  -0.008337  -0.000000  -0.000000   17.0000     0.3920
    3.000     0.000   0.130081   0.000649   0.014063   0.014712   0.000000   0.000000  -0.032250  -0.000000  -0.000000   17.0000     0.4160
    3.500     0.000   0.167098   0.000962   0.014130   0.015093   0.000000   0.000000  -0.056125  -0.000000  -0.000000   17.0000     0.4293
    4.000     0.000   0.204091   0.001352   0.014306   0.015658   0.000000   0.000000  -0.079963  -0.000000  -0.000000   17.0000     0.4379
    4.500     0.000   0.241055   0.001818   0.014489   0.016308   0.000000   0.000000  -0.103759  -0.000000  -0.000000   17.0000     0.4438
    5.000     0.000   0.277985   0.002360   0.014745   0.017105   0.000000   0.000000  -0.127506  -0.000000  -0.000000   17.0000     0.4482
    5.500     0.000   0.314877   0.002977   0.014976   0.017953   0.000000   0.000000  -0.151194  -0.000000  -0.000000   17.0000     0.4516
    6.000     0.000   0.351726   0.003669   0.015131   0.018799   0.000000   0.000000  -0.174807  -0.000000  -0.000000   17.0000     0.4543
    6.500     0.000   0.388527   0.004434   0.015344   0.019779   0.000000   0.000000  -0.198348  -0.000000  -0.000000   17.0000     0.4565
    7.000     0.000   0.425275   0.005274   0.015542   0.020816   0.000000   0.000000  -0.221802  -0.000000  -0.000000   17.0000     0.4583


