xflr5 v6.55

Plane name :        Elevator_2
Polar name :        T1-20.1 m/s-VLM2
Freestream speed :  20.150 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.445414   0.005605   0.021710   0.027315  -0.000000   0.000000   0.304624   0.000000   0.000000   20.1500     0.4881
   -4.500     0.000  -0.409769   0.004773   0.019588   0.024361  -0.000000   0.000000   0.284062   0.000000   0.000000   20.1500     0.4895
   -4.000     0.000  -0.374072   0.004010   0.017652   0.021662  -0.000000   0.000000   0.263465   0.000000   0.000000   20.1500     0.4911
   -3.500     0.000  -0.338328   0.003315   0.016240   0.019555  -0.000000   0.000000   0.242867   0.000000   0.000000   20.1500     0.4931
   -3.000     0.000  -0.302540   0.002691   0.015105   0.017796  -0.000000   0.000000   0.222282   0.000000   0.000000   20.1500     0.4956
   -2.500     0.000  -0.266715   0.002136   0.013703   0.015839  -0.000000   0.000000   0.201661   0.000000   0.000000   20.1500     0.4988
   -2.000     0.000  -0.230856   0.001652   0.012391   0.014043  -0.000000   0.000000   0.180991   0.000000   0.000000   20.1500     0.5030
   -1.500     0.000  -0.194968   0.001239   0.012059   0.013298  -0.000000   0.000000   0.160333   0.000000   0.000000   20.1500     0.5088
   -1.000     0.000  -0.159055   0.000898   0.011950   0.012848  -0.000000   0.000000   0.139659   0.000000   0.000000   20.1500     0.5172
   -0.500     0.000  -0.123122   0.000627   0.012157   0.012784  -0.000000   0.000000   0.118967   0.000000   0.000000   20.1500     0.5306
    0.000     0.000  -0.087174   0.000429   0.012490   0.012919  -0.000000   0.000000   0.098260   0.000000   0.000000   20.1500     0.5550
    0.500     0.000  -0.051216   0.000302   0.012832   0.013134  -0.000000   0.000000   0.077544   0.000000   0.000000   20.1500     0.6139
    1.000     0.000  -0.015251   0.000247   0.013121   0.013368  -0.000000   0.000000   0.056826   0.000000   0.000000   20.1500     0.9503
    1.500     0.000   0.020715   0.000264   0.013083   0.013347   0.000000   0.000000   0.036123  -0.000000  -0.000000   20.1500     0.1185
    2.000     0.000   0.056678   0.000353   0.012969   0.013322   0.000000   0.000000   0.015437  -0.000000  -0.000000   20.1500     0.3424
    2.500     0.000   0.092633   0.000514   0.012942   0.013456   0.000000   0.000000  -0.005234  -0.000000  -0.000000   20.1500     0.3924
    3.000     0.000   0.128575   0.000747   0.012978   0.013725   0.000000   0.000000  -0.025887  -0.000000  -0.000000   20.1500     0.4145
    3.500     0.000   0.164501   0.001051   0.013071   0.014122   0.000000   0.000000  -0.046506  -0.000000  -0.000000   20.1500     0.4270
    4.000     0.000   0.200405   0.001426   0.013255   0.014681   0.000000   0.000000  -0.067091  -0.000000  -0.000000   20.1500     0.4350
    4.500     0.000   0.236282   0.001873   0.013332   0.015205   0.000000  -0.000000  -0.087628  -0.000000  -0.000000   20.1500     0.4406
    5.000     0.000   0.272129   0.002390   0.013458   0.015847   0.000000  -0.000000  -0.108125  -0.000000  -0.000000   20.1500     0.4447
    5.500     0.000   0.307940   0.002977   0.013608   0.016586   0.000000  -0.000000  -0.128579  -0.000000  -0.000000   20.1500     0.4479


