xflr5 v6.55

Plane name :        Elevator_4
Polar name :        T1-27.1 m/s-VLM2
Freestream speed :  27.060 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -0.500     0.000  -0.122662  -0.000086   0.011254   0.011168  -0.000000   0.000000   0.105634   0.000000   0.000000   27.0600     0.5299
    0.000     0.000  -0.080429   0.000060   0.011516   0.011576  -0.000000   0.000000   0.079001   0.000000   0.000000   27.0600     0.5486
    0.500     0.000  -0.038193   0.000242   0.011861   0.012104  -0.000000   0.000000   0.052363   0.000000   0.000000   27.0600     0.6086
    1.000     0.000   0.004042   0.000460   0.012121   0.012580  -0.000000   0.000000   0.025729   0.000000   0.000000   27.0600    -0.5840
    1.500     0.000   0.046271   0.000713   0.012226   0.012939   0.000000   0.000000  -0.000891  -0.000000  -0.000000   27.0600     0.4003
    2.000     0.000   0.088491   0.001001   0.012217   0.013219   0.000000   0.000000  -0.027482  -0.000000  -0.000000   27.0600     0.4453
    2.500     0.000   0.130698   0.001325   0.012200   0.013525   0.000000   0.000000  -0.054040  -0.000000  -0.000000   27.0600     0.4612
    3.000     0.000   0.172887   0.001684   0.012163   0.013847   0.000000   0.000000  -0.080560  -0.000000  -0.000000   27.0600     0.4694
    3.500     0.000   0.215054   0.002077   0.012208   0.014285   0.000000   0.000000  -0.107041  -0.000000  -0.000000   27.0600     0.4744
    4.000     0.000   0.257195   0.002505   0.012326   0.014830   0.000000   0.000000  -0.133477  -0.000000  -0.000000   27.0600     0.4778
    4.500     0.000   0.299306   0.002966   0.012423   0.015389   0.000000   0.000000  -0.159847  -0.000000  -0.000000   27.0600     0.4802
    5.000     0.000   0.341383   0.003462   0.012568   0.016030   0.000000   0.000000  -0.186148  -0.000000  -0.000000   27.0600     0.4821


