xflr5 v6.55

Plane name :        Elevator_4
Polar name :        T1-27.8 m/s-VLM2
Freestream speed :  27.800 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -0.500     0.000  -0.122662  -0.000086   0.011080   0.010994  -0.000000   0.000000   0.105633   0.000000   0.000000   27.8000     0.5299
    0.000     0.000  -0.080429   0.000060   0.011336   0.011396  -0.000000   0.000000   0.079001   0.000000   0.000000   27.8000     0.5486
    0.500     0.000  -0.038193   0.000242   0.011680   0.011922  -0.000000   0.000000   0.052364   0.000000   0.000000   27.8000     0.6086
    1.000     0.000   0.004042   0.000460   0.011938   0.012398  -0.000000   0.000000   0.025731   0.000000   0.000000   27.8000    -0.5840
    1.500     0.000   0.046271   0.000713   0.012046   0.012759   0.000000   0.000000  -0.000888  -0.000000  -0.000000   27.8000     0.4003
    2.000     0.000   0.088491   0.001001   0.012048   0.013050   0.000000   0.000000  -0.027478  -0.000000  -0.000000   27.8000     0.4453
    2.500     0.000   0.130698   0.001325   0.012039   0.013364   0.000000   0.000000  -0.054035  -0.000000  -0.000000   27.8000     0.4612
    3.000     0.000   0.172887   0.001684   0.012006   0.013689   0.000000   0.000000  -0.080555  -0.000000  -0.000000   27.8000     0.4694
    3.500     0.000   0.215054   0.002077   0.012044   0.014120   0.000000   0.000000  -0.107033  -0.000000  -0.000000   27.8000     0.4744
    4.000     0.000   0.257195   0.002505   0.012154   0.014659   0.000000   0.000000  -0.133467  -0.000000  -0.000000   27.8000     0.4778
    4.500     0.000   0.299306   0.002966   0.012254   0.015220   0.000000   0.000000  -0.159836  -0.000000  -0.000000   27.8000     0.4802
    5.000     0.000   0.341383   0.003462   0.012402   0.015864   0.000000   0.000000  -0.186137  -0.000000  -0.000000   27.8000     0.4821


