xflr5 v6.55

Plane name :        Elevator_0_5
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.000     0.000  -0.168105  -0.001471   0.011383   0.009912  -0.000000   0.000000   0.162930   0.000000   0.000000   20.0000     0.5247
   -0.500     0.000  -0.131748  -0.001402   0.011592   0.010191  -0.000000   0.000000   0.139894   0.000000   0.000000   20.0000     0.5388
    0.000     0.000  -0.095387  -0.001137   0.011928   0.010791  -0.000000   0.000000   0.116837   0.000000   0.000000   20.0000     0.5634
    0.500     0.000  -0.059032  -0.000676   0.012272   0.011596  -0.000000   0.000000   0.093769   0.000000   0.000000   20.0000     0.6184
    1.000     0.000  -0.022689  -0.000019   0.012562   0.012542  -0.000000   0.000000   0.070697   0.000000   0.000000   20.0000     0.8490
    1.500     0.000   0.013633   0.000832   0.012524   0.013356   0.000000   0.000000   0.047639  -0.000000  -0.000000   20.0000    -0.1482
    2.000     0.000   0.049926   0.001877   0.012408   0.014285   0.000000   0.000000   0.024598  -0.000000  -0.000000   20.0000     0.3049
    2.500     0.000   0.086184   0.003116   0.012378   0.015494   0.000000   0.000000   0.001572  -0.000000  -0.000000   20.0000     0.3767
    3.000     0.000   0.122397   0.004547   0.012414   0.016961   0.000000   0.000000  -0.021436  -0.000000  -0.000000   20.0000     0.4061
    3.500     0.000   0.158558   0.006169   0.012498   0.018667   0.000000   0.000000  -0.044408  -0.000000  -0.000000   20.0000     0.4222
    4.000     0.000   0.194659   0.007981   0.012677   0.020658   0.000000   0.000000  -0.067343  -0.000000  -0.000000   20.0000     0.4324
    4.500     0.000   0.230693   0.009981   0.012755   0.022736   0.000000   0.000000  -0.090228  -0.000000  -0.000000   20.0000     0.4395
    5.000     0.000   0.266652   0.012168   0.012882   0.025050   0.000000   0.000000  -0.113069  -0.000000  -0.000000   20.0000     0.4448
    5.500     0.000   0.302529   0.014540   0.013034   0.027575   0.000000   0.000000  -0.135863  -0.000000  -0.000000   20.0000     0.4490
    6.000     0.000   0.338315   0.017095   0.013162   0.030258   0.000000   0.000000  -0.158582  -0.000000  -0.000000   20.0000     0.4523


