xflr5 v6.55

Plane name :        Elevator_4
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -0.500     0.000  -0.122662  -0.000086   0.013373   0.013287  -0.000000   0.000000   0.105636   0.000000   0.000000   20.0000     0.5299
    0.000     0.000  -0.080429   0.000060   0.013688   0.013748  -0.000000   0.000000   0.078988   0.000000   0.000000   20.0000     0.5486
    0.500     0.000  -0.038193   0.000242   0.014015   0.014257  -0.000000   0.000000   0.052336   0.000000   0.000000   20.0000     0.6086
    1.000     0.000   0.004042   0.000460   0.014287   0.014747  -0.000000   0.000000   0.025690   0.000000   0.000000   20.0000    -0.5840
    1.500     0.000   0.046271   0.000713   0.014219   0.014932   0.000000   0.000000  -0.000934  -0.000000  -0.000000   20.0000     0.4003
    2.000     0.000   0.088491   0.001001   0.014111   0.015112   0.000000   0.000000  -0.027534  -0.000000  -0.000000   20.0000     0.4453
    2.500     0.000   0.130698   0.001325   0.014091   0.015417   0.000000   0.000000  -0.054107  -0.000000  -0.000000   20.0000     0.4612
    3.000     0.000   0.172887   0.001684   0.014129   0.015813   0.000000   0.000000  -0.080649  -0.000000  -0.000000   20.0000     0.4694
    3.500     0.000   0.215054   0.002077   0.014264   0.016341   0.000000   0.000000  -0.107143  -0.000000  -0.000000   20.0000     0.4744
    4.000     0.000   0.257195   0.002505   0.014426   0.016931   0.000000   0.000000  -0.133584  -0.000000  -0.000000   20.0000     0.4778
    4.500     0.000   0.299306   0.002966   0.014514   0.017480   0.000000   0.000000  -0.159962  -0.000000  -0.000000   20.0000     0.4802
    5.000     0.000   0.341383   0.003462   0.014687   0.018149   0.000000   0.000000  -0.186285  -0.000000  -0.000000   20.0000     0.4821


