xflr5 v6.55

Plane name :        AR_11_03
Polar name :        T1-26.4 m/s-VLM2
Freestream speed :  26.450 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.263052   0.002744   0.012805   0.015549  -0.000000   0.000000   0.238425   0.000000   0.000000   26.4500     0.5103
   -2.500     0.000  -0.231745   0.002170   0.011561   0.013731  -0.000000   0.000000   0.214810   0.000000   0.000000   26.4500     0.5133
   -2.000     0.000  -0.200406   0.001668   0.010995   0.012663  -0.000000   0.000000   0.191195   0.000000   0.000000   26.4500     0.5173
   -1.500     0.000  -0.169039   0.001240   0.010777   0.012017  -0.000000   0.000000   0.167563   0.000000   0.000000   26.4500     0.5229
   -1.000     0.000  -0.137648   0.000885   0.010726   0.011611  -0.000000   0.000000   0.143903   0.000000   0.000000   26.4500     0.5311
   -0.500     0.000  -0.106238   0.000604   0.010892   0.011495  -0.000000   0.000000   0.120224   0.000000   0.000000   26.4500     0.5441
    0.000     0.000  -0.074813   0.000397   0.011199   0.011595  -0.000000   0.000000   0.096530   0.000000   0.000000   26.4500     0.5680
    0.500     0.000  -0.043378   0.000264   0.011502   0.011765  -0.000000  -0.000000   0.072827   0.000000   0.000000   26.4500     0.6268
    1.000     0.000  -0.011937   0.000205   0.011711   0.011916  -0.000000  -0.000000   0.049122   0.000000   0.000000   26.4500     0.9953
    1.500     0.000   0.019507   0.000221   0.011789   0.012010   0.000000  -0.000000   0.025425  -0.000000  -0.000000   26.4500     0.1758
    2.000     0.000   0.050947   0.000311   0.011751   0.012062   0.000000  -0.000000   0.001752  -0.000000  -0.000000   26.4500     0.3678
    2.500     0.000   0.082381   0.000475   0.011710   0.012186   0.000000  -0.000000  -0.021895  -0.000000  -0.000000   26.4500     0.4133
    3.000     0.000   0.113804   0.000714   0.011666   0.012380   0.000000  -0.000000  -0.045512  -0.000000  -0.000000   26.4500     0.4337
    3.500     0.000   0.145211   0.001027   0.011622   0.012648   0.000000  -0.000000  -0.069092  -0.000000  -0.000000   26.4500     0.4453
    4.000     0.000   0.176599   0.001413   0.011663   0.013076   0.000000  -0.000000  -0.092638  -0.000000  -0.000000   26.4500     0.4527
    4.500     0.000   0.207962   0.001873   0.011744   0.013617   0.000000  -0.000000  -0.116141  -0.000000  -0.000000   26.4500     0.4580
    5.000     0.000   0.239297   0.002406   0.011779   0.014185   0.000000  -0.000000  -0.139578  -0.000000  -0.000000   26.4500     0.4619
    5.500     0.000   0.270599   0.003012   0.011844   0.014856   0.000000  -0.000000  -0.162950  -0.000000  -0.000000   26.4500     0.4649
    6.000     0.000   0.301864   0.003690   0.011906   0.015596   0.000000  -0.000000  -0.186247  -0.000000  -0.000000   26.4500     0.4673
    6.500     0.000   0.333088   0.004440   0.011941   0.016382   0.000000  -0.000000  -0.209463  -0.000000  -0.000000   26.4500     0.4693
    7.000     0.000   0.364266   0.005261   0.012036   0.017297   0.000000  -0.000000  -0.232610  -0.000000  -0.000000   26.4500     0.4710
    7.500     0.000   0.395394   0.006153   0.012148   0.018301   0.000000  -0.000000  -0.255670  -0.000000  -0.000000   26.4500     0.4724


