xflr5 v6.55

Plane name :        Elev_Distance_001
Polar name :        T1-20.9 m/s-VLM2
Freestream speed :  20.850 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.450524   0.006785   0.020817   0.027602   0.000000  -0.000000   0.387714  -0.000000  -0.000000   20.8500     0.4942
   -4.500     0.000  -0.415448   0.005732   0.018780   0.024512   0.000000  -0.000000   0.361935  -0.000000  -0.000000   20.8500     0.4957
   -4.000     0.000  -0.380315   0.004768   0.017043   0.021811   0.000000  -0.000000   0.336115  -0.000000  -0.000000   20.8500     0.4975
   -3.500     0.000  -0.345131   0.003895   0.015724   0.019620   0.000000   0.000000   0.310301  -0.000000  -0.000000   20.8500     0.4997
   -3.000     0.000  -0.309901   0.003113   0.014666   0.017779   0.000000   0.000000   0.284490  -0.000000  -0.000000   20.8500     0.5025
   -2.500     0.000  -0.274630   0.002423   0.013386   0.015809   0.000000   0.000000   0.258637  -0.000000  -0.000000   20.8500     0.5060
   -2.000     0.000  -0.239322   0.001825   0.012004   0.013828  -0.000000   0.000000   0.232723   0.000000   0.000000   20.8500     0.5106
   -1.500     0.000  -0.203984   0.001319   0.011643   0.012962  -0.000000   0.000000   0.206815   0.000000   0.000000   20.8500     0.5168
   -1.000     0.000  -0.168619   0.000906   0.011512   0.012418  -0.000000   0.000000   0.180887   0.000000   0.000000   20.8500     0.5256
   -0.500     0.000  -0.133233   0.000586   0.011673   0.012259  -0.000000   0.000000   0.154933   0.000000   0.000000   20.8500     0.5391
    0.000     0.000  -0.097832   0.000359   0.011988   0.012347  -0.000000   0.000000   0.128957   0.000000   0.000000   20.8500     0.5624
    0.500     0.000  -0.062421   0.000226   0.012322   0.012548  -0.000000   0.000000   0.102965   0.000000   0.000000   20.8500     0.6123
    1.000     0.000  -0.027004   0.000187   0.012624   0.012811  -0.000000   0.000000   0.076968   0.000000   0.000000   20.8500     0.7929
    1.500     0.000   0.008414   0.000241   0.012649   0.012890  -0.000000   0.000000   0.050983   0.000000   0.000000   20.8500    -0.5468
    2.000     0.000   0.043826   0.000388   0.012548   0.012936  -0.000000   0.000000   0.025018   0.000000   0.000000   20.8500     0.2786
    2.500     0.000   0.079228   0.000629   0.012515   0.013144  -0.000000   0.000000  -0.000928   0.000000   0.000000   20.8500     0.3663
    3.000     0.000   0.114616   0.000963   0.012538   0.013501  -0.000000   0.000000  -0.026853   0.000000   0.000000   20.8500     0.3998
    3.500     0.000   0.149982   0.001389   0.012613   0.014002  -0.000000   0.000000  -0.052743   0.000000   0.000000   20.8500     0.4176
    4.000     0.000   0.185324   0.001908   0.012796   0.014704  -0.000000   0.000000  -0.078596   0.000000   0.000000   20.8500     0.4286
    4.500     0.000   0.220635   0.002519   0.012840   0.015359  -0.000000   0.000000  -0.104391   0.000000   0.000000   20.8500     0.4361
    5.000     0.000   0.255910   0.003221   0.012918   0.016139  -0.000000   0.000000  -0.130134   0.000000   0.000000   20.8500     0.4416
    5.500     0.000   0.291145   0.004014   0.013038   0.017052  -0.000000   0.000000  -0.155821   0.000000   0.000000   20.8500     0.4458
    6.000     0.000   0.326333   0.004897   0.013146   0.018043  -0.000000   0.000000  -0.181429   0.000000   0.000000   20.8500     0.4491
    6.500     0.000   0.361471   0.005870   0.013391   0.019261  -0.000000   0.000000  -0.206968   0.000000   0.000000   20.8500     0.4518
    7.000     0.000   0.396554   0.006931   0.013472   0.020403  -0.000000   0.000000  -0.232389   0.000000   0.000000   20.8500     0.4540
    7.500     0.000   0.431575   0.008081   0.013181   0.021262  -0.000000   0.000000  -0.257655   0.000000   0.000000   20.8500     0.4560


