xflr5 v6.55

Plane name :        Elev_Distance_005
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000  -0.086431   0.000420   0.012459   0.012878   0.000000  -0.000000   0.111667  -0.000000  -0.000000   20.0000     0.5749
    0.500     0.000  -0.052246   0.000248   0.012790   0.013038   0.000000  -0.000000   0.089693  -0.000000  -0.000000   20.0000     0.6371
    1.000     0.000  -0.017715   0.000165   0.013075   0.013241   0.000000   0.000000   0.067714  -0.000000  -0.000000   20.0000     0.9529
    1.500     0.000   0.017159   0.000179   0.013027   0.013206  -0.000000   0.000000   0.045750   0.000000   0.000000   20.0000    -0.0274
    2.000     0.000   0.052368   0.000298   0.012909   0.013207  -0.000000   0.000000   0.023801   0.000000   0.000000   20.0000     0.3043
    2.500     0.000   0.087908   0.000532   0.012879   0.013411  -0.000000   0.000000   0.001866   0.000000   0.000000   20.0000     0.3679
    3.000     0.000   0.123773   0.000890   0.012911   0.013801  -0.000000   0.000000  -0.020051   0.000000   0.000000   20.0000     0.3939
    3.500     0.000   0.159956   0.001379   0.012995   0.014374  -0.000000   0.000000  -0.041935   0.000000   0.000000   20.0000     0.4073


