xflr5 v6.50

Plane name :        AC_NACA_Swept_0.3
Polar name :        T1-20.0 m/s-VLM1-2.0kg-x0.0m
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.399599   0.001989   0.012663   0.014651   0.000000   0.000000   0.406219   0.000000   0.000000   20.0000     0.1647
   -4.500     0.000  -0.350149   0.001527   0.011712   0.013239   0.000000   0.000000   0.352742   0.000000  -0.000000   20.0000     0.1632
   -4.000     0.000  -0.300659   0.001125   0.010967   0.012093   0.000000   0.000000   0.299168   0.000000   0.000000   20.0000     0.1612
   -3.500     0.000  -0.251136   0.000784   0.010405   0.011190   0.000000   0.000000   0.245506  -0.000000  -0.000000   20.0000     0.1585
   -3.000     0.000  -0.201584   0.000505   0.010097   0.010601   0.000000   0.000000   0.191772  -0.000000   0.000000   20.0000     0.1544
   -2.500     0.000  -0.152009   0.000286   0.009981   0.010268   0.000000   0.000000   0.137969   0.000000   0.000000   20.0000     0.1476
   -2.000     0.000  -0.102417   0.000129   0.009945   0.010074   0.000000   0.000000   0.084102   0.000000  -0.000000   20.0000     0.1343
   -1.500     0.000  -0.052813   0.000034   0.009985   0.010019   0.000000   0.000000   0.030187  -0.000000  -0.000000   20.0000     0.0961
   -1.000     0.000  -0.003202   0.000001   0.009981   0.009981   0.000000   0.000000  -0.023764   0.000000  -0.000000   20.0000    -1.1280
   -0.500     0.000   0.046411   0.000029   0.009970   0.009999   0.000000   0.000000  -0.077732   0.000000  -0.000000   20.0000     0.2649
    0.000     0.000   0.096019   0.000119   0.009929   0.010048   0.000000   0.000000  -0.131702   0.000000  -0.000000   20.0000     0.2185
    0.500     0.000   0.145618   0.000271   0.009802   0.010073   0.000000   0.000000  -0.185654   0.000000   0.000000   20.0000     0.2037
    1.000     0.000   0.195202   0.000484   0.009650   0.010134   0.000000   0.000000  -0.239572   0.000000   0.000000   20.0000     0.1964
    1.500     0.000   0.244766   0.000759   0.009402   0.010161   0.000000  -0.000000  -0.293435   0.000000  -0.000000   20.0000     0.1921
    2.000     0.000   0.294305   0.001095   0.009174   0.010269   0.000000   0.000000  -0.347230   0.000000  -0.000000   20.0000     0.1892
    2.500     0.000   0.343812   0.001493   0.009061   0.010554   0.000000   0.000000  -0.400944   0.000000  -0.000000   20.0000     0.1872
    3.000     0.000   0.393283   0.001951   0.009115   0.011066   0.000000   0.000000  -0.454566  -0.000000   0.000000   20.0000     0.1857
    3.500     0.000   0.442713   0.002470   0.009319   0.011789   0.000000   0.000000  -0.508086  -0.000000  -0.000000   20.0000     0.1845
    4.000     0.000   0.492095   0.003049   0.009644   0.012693   0.000000  -0.000000  -0.561489  -0.000000  -0.000000   20.0000     0.1836
    4.500     0.000   0.541425   0.003688   0.010067   0.013755   0.000000   0.000000  -0.614759   0.000000   0.000000   20.0000     0.1828
    5.000     0.000   0.590698   0.004386   0.010598   0.014984   0.000000   0.000000  -0.667886  -0.000000   0.000000   20.0000     0.1822
    5.500     0.000   0.639907   0.005143   0.011277   0.016420   0.000000   0.000000  -0.720858  -0.000000  -0.000000   20.0000     0.1817
    6.000     0.000   0.689048   0.005958   0.012283   0.018241   0.000000   0.000000  -0.773685   0.000000   0.000000   20.0000     0.1812
    6.500     0.000   0.738116   0.006831   0.014060   0.020890   0.000000   0.000000  -0.826413  -0.000000  -0.000000   20.0000     0.1808
    7.000     0.000   0.787104   0.007760   0.016167   0.023927   0.000000   0.000000  -0.878994  -0.000000   0.000000   20.0000     0.1805
    7.500     0.000   0.836009   0.008746   0.018356   0.027102   0.000000   0.000000  -0.931387  -0.000000  -0.000000   20.0000     0.1802


