xflr5 v6.50

Plane name :        AC_NACA_Swept_0.2
Polar name :        T1-20.0 m/s-VLM1-2.0kg-x0.0m
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.401500   0.001998   0.012702   0.014700   0.000000  -0.000000   0.286903   0.000000   0.000000   20.0000     0.1188
   -4.500     0.000  -0.351818   0.001534   0.011738   0.013272   0.000000   0.000000   0.248141   0.000000   0.000000   20.0000     0.1173
   -4.000     0.000  -0.302096   0.001131   0.010988   0.012119   0.000000  -0.000000   0.209310  -0.000000   0.000000   20.0000     0.1153
   -3.500     0.000  -0.252341   0.000788   0.010416   0.011205   0.000000   0.000000   0.170415  -0.000000  -0.000000   20.0000     0.1126
   -3.000     0.000  -0.202557   0.000507   0.010104   0.010612   0.000000   0.000000   0.131467   0.000000   0.000000   20.0000     0.1085
   -2.500     0.000  -0.152750   0.000288   0.009985   0.010272   0.000000   0.000000   0.092469  -0.000000   0.000000   20.0000     0.1018
   -2.000     0.000  -0.102925   0.000130   0.009945   0.010075   0.000000   0.000000   0.053425   0.000000  -0.000000   20.0000     0.0885
   -1.500     0.000  -0.053089   0.000034   0.009985   0.010019   0.000000   0.000000   0.014346  -0.000000   0.000000   20.0000     0.0505
   -1.000     0.000  -0.003245   0.000000   0.009981   0.009981   0.000000   0.000000  -0.024759   0.000000  -0.000000   20.0000    -1.1568
   -0.500     0.000   0.046600   0.000029   0.009970   0.009999   0.000000   0.000000  -0.063877   0.000000  -0.000000   20.0000     0.2186
    0.000     0.000   0.096441   0.000119   0.009928   0.010047   0.000000   0.000000  -0.102996   0.000000   0.000000   20.0000     0.1723
    0.500     0.000   0.146272   0.000271   0.009801   0.010072   0.000000   0.000000  -0.142103  -0.000000   0.000000   20.0000     0.1576
    1.000     0.000   0.196089   0.000486   0.009646   0.010132   0.000000   0.000000  -0.181184   0.000000   0.000000   20.0000     0.1503
    1.500     0.000   0.245885   0.000762   0.009397   0.010159   0.000000   0.000000  -0.220226   0.000000  -0.000000   20.0000     0.1460
    2.000     0.000   0.295656   0.001099   0.009169   0.010268   0.000000   0.000000  -0.259219   0.000000   0.000000   20.0000     0.1432
    2.500     0.000   0.345395   0.001498   0.009062   0.010561   0.000000   0.000000  -0.298153   0.000000   0.000000   20.0000     0.1412
    3.000     0.000   0.395098   0.001959   0.009123   0.011082   0.000000   0.000000  -0.337022  -0.000000   0.000000   20.0000     0.1396
    3.500     0.000   0.444759   0.002480   0.009334   0.011814   0.000000   0.000000  -0.375816  -0.000000  -0.000000   20.0000     0.1385
    4.000     0.000   0.494373   0.003061   0.009665   0.012726   0.000000   0.000000  -0.414526  -0.000000   0.000000   20.0000     0.1375
    4.500     0.000   0.543935   0.003702   0.010095   0.013797   0.000000   0.000000  -0.453140  -0.000000   0.000000   20.0000     0.1368
    5.000     0.000   0.593438   0.004403   0.010636   0.015039   0.000000   0.000000  -0.491650  -0.000000   0.000000   20.0000     0.1361
    5.500     0.000   0.642878   0.005163   0.011328   0.016492   0.000000   0.000000  -0.530048  -0.000000  -0.000000   20.0000     0.1356
    6.000     0.000   0.692249   0.005982   0.012373   0.018355   0.000000   0.000000  -0.568343  -0.000000  -0.000000   20.0000     0.1352
    6.500     0.000   0.741547   0.006858   0.014224   0.021082   0.000000   0.000000  -0.606568  -0.000000   0.000000   20.0000     0.1348
    7.000     0.000   0.790765   0.007792   0.016329   0.024120   0.000000   0.000000  -0.644682  -0.000000  -0.000000   20.0000     0.1345
    7.500     0.000   0.839899   0.008782   0.018552   0.027334   0.000000   0.000000  -0.682663  -0.000000   0.000000   20.0000     0.1342


