xflr5 v6.50

Plane name :        AC_NACA_Swept_0.5
Polar name :        T1-20.0 m/s-VLM1-2.0kg-x0.0m
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.393309   0.001947   0.012537   0.014484   0.000000  -0.000000   0.639586  -0.000000   0.000000   20.0000     0.2575
   -4.500     0.000  -0.344632   0.001495   0.011625   0.013119   0.000000  -0.000000   0.557343  -0.000000   0.000000   20.0000     0.2559
   -4.000     0.000  -0.295917   0.001101   0.010901   0.012002   0.000000  -0.000000   0.474950  -0.000000   0.000000   20.0000     0.2539
   -3.500     0.000  -0.247169   0.000768   0.010372   0.011140   0.000000  -0.000000   0.392424   0.000000  -0.000000   20.0000     0.2511
   -3.000     0.000  -0.198393   0.000494   0.010076   0.010570   0.000000  -0.000000   0.309786  -0.000000   0.000000   20.0000     0.2470
   -2.500     0.000  -0.149594   0.000280   0.009973   0.010253   0.000000  -0.000000   0.227041   0.000000   0.000000   20.0000     0.2402
   -2.000     0.000  -0.100779   0.000126   0.009945   0.010071   0.000000  -0.000000   0.144199   0.000000  -0.000000   20.0000     0.2267
   -1.500     0.000  -0.051951   0.000033   0.009986   0.010019   0.000000  -0.000000   0.061282   0.000000   0.000000   20.0000     0.1880
   -1.000     0.000  -0.003117   0.000001   0.009981   0.009981  -0.000000  -0.000000  -0.021691   0.000000   0.000000   20.0000    -1.0634
   -0.500     0.000   0.045719   0.000028   0.009970   0.009999  -0.000000  -0.000000  -0.104690   0.000000  -0.000000   20.0000     0.3586
    0.000     0.000   0.094551   0.000117   0.009933   0.010049   0.000000  -0.000000  -0.187691  -0.000000  -0.000000   20.0000     0.3117
    0.500     0.000   0.143373   0.000266   0.009808   0.010074   0.000000   0.000000  -0.270665  -0.000000  -0.000000   20.0000     0.2968
    1.000     0.000   0.192181   0.000475   0.009663   0.010138   0.000000   0.000000  -0.353585  -0.000000  -0.000000   20.0000     0.2894
    1.500     0.000   0.240969   0.000745   0.009421   0.010166   0.000000   0.000000  -0.436422  -0.000000  -0.000000   20.0000     0.2851
    2.000     0.000   0.289732   0.001075   0.009193   0.010268   0.000000   0.000000  -0.519152  -0.000000  -0.000000   20.0000     0.2822
    2.500     0.000   0.338465   0.001464   0.009065   0.010530   0.000000   0.000000  -0.601757  -0.000000  -0.000000   20.0000     0.2801
    3.000     0.000   0.387161   0.001914   0.009094   0.011008   0.000000   0.000000  -0.684220  -0.000000   0.000000   20.0000     0.2786
    3.500     0.000   0.435817   0.002422   0.009276   0.011698   0.000000   0.000000  -0.766525  -0.000000   0.000000   20.0000     0.2774
    4.000     0.000   0.484426   0.002990   0.009579   0.012569   0.000000   0.000000  -0.848649  -0.000000  -0.000000   20.0000     0.2765
    4.500     0.000   0.532984   0.003616   0.009980   0.013596   0.000000   0.000000  -0.930570  -0.000000  -0.000000   20.0000     0.2757
    5.000     0.000   0.581486   0.004300   0.010480   0.014780   0.000000   0.000000  -1.012267  -0.000000  -0.000000   20.0000     0.2751
    5.500     0.000   0.629925   0.005042   0.011116   0.016158   0.000000   0.000000  -1.093726  -0.000000  -0.000000   20.0000     0.2746
    6.000     0.000   0.678297   0.005841   0.012008   0.017849   0.000000   0.000000  -1.174949  -0.000000   0.000000   20.0000     0.2742
    6.500     0.000   0.726597   0.006696   0.013563   0.020260   0.000000   0.000000  -1.256005  -0.000000   0.000000   20.0000     0.2738
    7.000     0.000   0.774819   0.007608   0.015619   0.023227   0.000000   0.000000  -1.336861  -0.000000  -0.000000   20.0000     0.2735
    7.500     0.000   0.822959   0.008574   0.017713   0.026287   0.000000   0.000000  -1.417415  -0.000000   0.000000   20.0000     0.2732


